id;start_date;end_date;language
1;2019-12-18T22:47:54;2019-12-18T15:56:12;FRENCH
2;2019-12-18T09:24:10;2019-12-18T22:09:51;ENGLISH
3;2019-12-18T08:50:37;2019-12-18T10:46:57;FRENCH
4;2019-12-18T20:36:27;2019-12-18T12:58:05;ENGLISH
5;2019-12-18T23:46:02;2019-12-19T00:20:59;FRENCH
6;2019-12-18T06:01:19;2019-12-18T03:02:42;SPANISH
7;2019-12-18T15:11:23;2019-12-18T18:14:30;ENGLISH
8;2019-12-18T16:59:20;2019-12-19T01:23:58;FRENCH
9;2019-12-18T17:33:44;2019-12-19T02:11:08;ENGLISH
10;2019-12-18T10:44:40;2019-12-18T10:08:17;SPANISH
